Nome	Código	CNPJ	Segmento B3	Partic. IFIX %
FII Abc Imob	ABCP11	1201140000190	Tradicional	1,003
FII Absoluto	BPFF11	17324357000128	Tradicional	0,390
FII Afinvcr	AFCR11	32065364000146	Tradicional	-
FII Alianza	ALZR11	28737771000185	Tradicional	0,652
FII Almirant	FAMB11B	5562312000102	Balcão Organizado	-
FII Ancar Ic	ANCR11B	7789135000127	Balcão Organizado	-
FII Anh Educ	FAED11	11179118000145	Tradicional	-
FII Aquil Rd	ARFI11B	14069202000102	Balcão Organizado	-
FII Aquilla	AQLL11	13555918000149	Tradicional	-
FII Arctium	ARCT11	28267696000136	Tradicional	-
FII Athena I	FATN11	30567216000102	Tradicional	-
FII Atrio	ARRI11	32006821000121	Tradicional	-
FII Autonomy	AIEC11	35765826000126	Tradicional	-
FII B Varejo	BVAR11	21126204000143	Tradicional	-
FII Banrisul	BNFS11	15570431000160	Tradicional	-
FII Barigui	BARI11	29267567000100	Tradicional	0,527
FII BB Corp	BBRC11	12681340000104	Tradicional	-
FII BB Fof	BBFO11	37180091000102	Tradicional	-
FII BB Papii	RDPD11	23120027000113	Tradicional	-
FII BB Prgii	BBPO11	14410722000129	Tradicional	1,970
FII BB Progr	BBFI11B	7000400000146	Balcão Organizado	0,316
FII BB R Pap	RNDP11	15394563000189	Tradicional	-
FII BB Recim	BBIM11	20716161000193	Tradicional	-
FII Bc Ffii	BCFF11	11026627000138	Tradicional	2,094
FII Bc Fund	BRCR11	8924783000101	Tradicional	2,547
FII Bcia	BCIA11	20216935000117	Tradicional	0,438
FII Bees Cri	BCRI11	22219335000138	Tradicional	0,545
FII Blue Fof	BLMR11	36368869000130	Tradicional	-
FII Blue Log	BLMG11	34081637000171	Tradicional	-
FII Bluecap	BLCP11	35652060000173	Tradicional	-
FII Bluemac	BLMO11	34895894000147	Tradicional	-
FII Bm Thera	THRA11	13966653000171	Tradicional	-
FII Bmbrc Lc	BMLC11	14376247000111	Tradicional	-
FII Brasilio	BMII11	2027437000144	Tradicional	-
FII Bre Vic	BREV11	26195121000120	Tradicional	-
FII Bresco	BRCO11	20748515000181	Tradicional	1,825
FII Brhoteis	BRHT11B	15461076000191	Balcão Organizado	-
FII Brio II	BRIM11	23964843000103	Tradicional	-
FII Brio III	BRIP11	34895752000180	Tradicional	-
FII Brlproii	BRLA11	35652278000128	Tradicional	-
FII Brlproii	BRLA13	35652278000128	Tradicional	-
FII Brlprop	BPRP11	29800650000101	Tradicional	-
FII Brrealty	BZLI11	14074706000102	Tradicional	-
FII BTG Agro	BTAL11	36642244000115	Tradicional	-
FII BTG Cri	BTCR11	29787928000140	Tradicional	0,466
FII BTG Shop	BPML11	33046142000149	Tradicional	-
FII Btlg	BTLG11	11839593000109	Tradicional	1,687
FII C Branco	CBOP11	17144039000185	Tradicional	-
FII C Textil	CTXT11	762723000128	Tradicional	-
FII Campusfl	FCFL11	11602654000101	Tradicional	-
FII Cap Reit	CPFF11	34081611000123	Tradicional	0,366
FII Capi Sec	CPTS11	18979895000113	Tradicional	1,834
FII Cenesp	CNES11	13551286000145	Tradicional	-
FII Ceo Ccp	CEOC11	15799397000109	Tradicional	-
FII Cf2	CFHI11	34508923000170	Tradicional	-
FII Cjctower	CJCT11	10347985000180	Tradicional	-
FII Crianca	HCRI11	4066582000160	Tradicional	-
FII CSHG Cri	HGCR11	11160521000122	Tradicional	1,431
FII CSHG Fof	HGFF11	32784898000122	Tradicional	0,301
FII CSHG Log	HGLG11	11728688000147	Tradicional	3,613
FII CSHG Urb	HGRU11	29641226000153	Tradicional	2,593
FII Cshgprim	HGPO11	11260134000168	Tradicional	0,410
FII Cx Cedae	CXCE11B	10991914000115	Balcão Organizado	-
FII Cx Rbra2	CRFF11	31887401000139	Tradicional	-
FII Cx Rbrav	CXRI11	17098794000170	Tradicional	-
FII Cx Trx	CXTL11	12887506000143	Tradicional	-
FII D Pedro	PQDP11	10869155000112	Tradicional	-
FII Dea Care	CARE11	13584584000131	Tradicional	-
FII Devant	DEVA11	37087810000137	Tradicional	-
FII Diamante	DAMT11B	26642727000166	Balcão Organizado	-
FII Domingos	FISD11	16543270000189	Tradicional	-
FII Dovel	DOVL11B	10522648000181	Balcão Organizado	-
FII Eldorado	ELDO11B	13022994000199	Balcão Organizado	-
FII Europa	ERPA11	31469385000164	Tradicional	-
FII Europar	EURO11	5437916000127	Tradicional	-
FII Ev Kinea	KINP11	24070076000151	Tradicional	-
FII Even II	KEVE11	32317313000164	Tradicional	-
FII Excellen	FEXC11	9552812000114	Tradicional	-
FII Fator Ve	VRTA11	11664201000100	Tradicional	1,272
FII Fl Receb	FLCR11	33884145000151	Tradicional	-
FII Floripa	FLRP11	10375382000191	Tradicional	-
FII Fof Brei	IBFF11	33721517000129	Tradicional	-
FII G Towers	GTWR11	23740527000158	Tradicional	1,418
FII Galapago	GCFF11	35652154000142	Tradicional	-
FII Galeria	EDGA11	15333306000137	Tradicional	-
FII Gen Sev	GESE11B	17007528000195	Balcão Organizado	-
FII Gen Shop	FIGS11	17590518000125	Tradicional	0,204
FII General	GSFI11	11769604000113	Tradicional	-
FII Ggr Covep	GGRC11	26614291000100	Tradicional	1,201
FII GP Rcfa	RCFA11	27771586000144	Tradicional	-
FII Guardian	GALG11	37295919000160	Tradicional	-
FII H Unimed	HUSC11	28851767000143	Tradicional	-
FII Habit 2	HABT11	30578417000105	Tradicional	0,730
FII Hatrium	ATSA11	12809972000100	Tradicional	-
FII Haz	ATCR11	14631148000139	Tradicional	-
FII Hect Des	HCST11	31152015000107	Tradicional	-
FII Hectare	HCTR11	30248180000196	Tradicional	1,462
FII Hedge Re	HPDP11	35586415000173	Tradicional	-
FII Hedgeaaa	HAAA11	27445482000140	Tradicional	-
FII Hedgebs	HGBS11	8431747000106	Tradicional	2,333
FII Hedgelog	HLOG11	27486542000172	Tradicional	-
FII Hedgerec	HREC11	35507262000121	Tradicional	-
FII Hedmoca	HMOC11	14733211000148	Tradicional	-
FII HG Real	HGRE11	9072017000129	Tradicional	1,921
FII Higienop	SHPH11	3507519000159	Tradicional	-
FII Hosi	HOSI11	34081631000102	Tradicional	-
FII Hotel Mx	HTMX11	8706065000169	Tradicional	0,159
FII Hrealty	HRDF11	16929519000199	Tradicional	-
