Empresa	Classe	Código	Setor NAICS	Setor	Subsetor	Segmento	Segmento B3
3r Petroleum	ON	RRRP3	Extração de petróleo e gás	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Novo Mercado
524 Particip	ON	QVQP3B	Empresa de eletricidade, gás e água	Outros	Outros	Outros	Balcão Organizado
Abc Brasil	PN	ABCB4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Aco Altona	ON	EALT3	Transformação de aço em produtos de aço	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Aco Altona	PN	EALT4	Transformação de aço em produtos de aço	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Aerisenergia	ON	AERI3	Indústria de motores, turbinas e transmissores de energia	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Novo Mercado
AES Tiete E	ON	TIET3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
AES Tiete E	PN	TIET4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
AES Tiete E	UNT N2	TIET11	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Afluente T	ON	AFLT3	Empresa de eletricidade, gás e água	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Alef S/A	ON	ALEF3B	Administração de empresas e empreendimentos	Outros	Outros	Outros	Balcão Organizado
Alfa Consorc	ON	BRGE3	Administração de empresas e empreendimentos	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Alfa Consorc	PNA	BRGE5	Administração de empresas e empreendimentos	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Alfa Consorc	PNB	BRGE6	Administração de empresas e empreendimentos	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Alfa Consorc	PNC	BRGE7	Administração de empresas e empreendimentos	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Alfa Consorc	PND	BRGE8	Administração de empresas e empreendimentos	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Alfa Consorc	PNE	BRGE11	Administração de empresas e empreendimentos	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Alfa Consorc	PNF	BRGE12	Administração de empresas e empreendimentos	Financeiro	Previdência e seguros	Seguradoras	Tradicional
Alfa Financ	ON	CRIV3	Bancos	Financeiro	Intermediários financeiros	Soc. crédito e financiamento	Tradicional
Alfa Financ	PN	CRIV4	Bancos	Financeiro	Intermediários financeiros	Soc. crédito e financiamento	Tradicional
Alfa Holding	ON	RPAD3	Administração de empresas e empreendimentos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Alfa Holding	PNA	RPAD5	Administração de empresas e empreendimentos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Alfa Holding	PNB	RPAD6	Administração de empresas e empreendimentos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Alfa Invest	ON	BRIV3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Alfa Invest	PN	BRIV4	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Alianscsonae	ON	ALSO3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Aliperti	ON	APTI3	Indústria de molas e produtos de arame	Consumo não cíclico	Agropecuária	Agricultura	Tradicional
Aliperti	PN	APTI4	Indústria de molas e produtos de arame	Consumo não cíclico	Agropecuária	Agricultura	Tradicional
All Norte	ON	FRRN3B	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Balcão Organizado
All Norte	PNA	FRRN5B	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Balcão Organizado
All Norte	PNB	FRRN6B	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Balcão Organizado
Alliar	ON	AALR3	Laboratório de exames médicos	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Alpargatas	ON	ALPA3	Indústria de calçados	Consumo cíclico	Tecidos vestuário e calçados	Calçados	Nível 1
